--------------------------------------------------------------------------------------------------------------
Example ids:  1628 project:  FFmpeg commit id:  89f464e9c229006e16f6bb5403c5529fdd0a9edd Number of lines:  166 Ground Truth:  1628
Original lines: 
Incorrectly  predicted by :  ['linevul', 'codebert', 'PLBART', 'devign', 'vulberta_cnn', 'vulberta_mlp']
176         av_log(avctx, AV_LOG_ERROR, "rps %d invalid\n", s->rps);                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 63, 'regvd': 17, 'vulberta_cnn': 76, 'vulberta_mlp': 29}
178         return AVERROR_INVALIDDATA;                                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 100, 'regvd': 94, 'vulberta_cnn': 27, 'vulberta_mlp': 54}
180     }                                                                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 252, 'regvd': 155, 'vulberta_cnn': 46, 'vulberta_mlp': 53}
184     planes = s->planar ? s->bppcount : 1;                                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 62, 'regvd': 90, 'vulberta_cnn': 9, 'vulberta_mlp': 52}
186     for (plane = 0; plane < planes; plane++) {                                                                       {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 41, 'regvd': 89, 'vulberta_cnn': 12, 'vulberta_mlp': 51}
188         stride = p->linesize[plane];                                                                                 {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 43, 'regvd': 70, 'vulberta_cnn': 80, 'vulberta_mlp': 50}
190         dst = p->data[plane];                                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 15, 'regvd': 84, 'vulberta_cnn': 28, 'vulberta_mlp': 49}
192         for (i = 0; i < s->height; i += s->rps) {                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 5, 'regvd': 64, 'vulberta_cnn': 16, 'vulberta_mlp': 48}
194             if (s->stripsizesoff)                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 59, 'regvd': 68, 'vulberta_cnn': 14, 'vulberta_mlp': 28}
196                 ssize = ff_tget(&stripsizes, s->sstype, le);                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 34, 'regvd': 13, 'vulberta_cnn': 11, 'vulberta_mlp': 13}
198             else                                                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 241, 'regvd': 139, 'vulberta_cnn': 64, 'vulberta_mlp': 47}
200                 ssize = s->stripsize;                                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 91, 'regvd': 87, 'vulberta_cnn': 34, 'vulberta_mlp': 24}
204             if (s->strippos)                                                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 53, 'regvd': 116, 'vulberta_cnn': 60, 'vulberta_mlp': 46}
206                 soff = ff_tget(&stripdata, s->sot, le);                                                              {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 20, 'regvd': 2, 'vulberta_cnn': 31, 'vulberta_mlp': 45}
208             else                                                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 234, 'regvd': 138, 'vulberta_cnn': 51, 'vulberta_mlp': 44}
210                 soff = s->stripoff;                                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 82, 'regvd': 65, 'vulberta_cnn': 56, 'vulberta_mlp': 43}
214             if (soff > avpkt->size || ssize > avpkt->size - soff) {                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 64, 'regvd': 59, 'vulberta_cnn': 70, 'vulberta_mlp': 21}
216                 av_log(avctx, AV_LOG_ERROR, "Invalid strip size/offset\n");                                          {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 76, 'regvd': 7, 'vulberta_cnn': 19, 'vulberta_mlp': 31}
218                 return AVERROR_INVALIDDATA;                                                                          {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 99, 'regvd': 93, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
220             }                                                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 226, 'regvd': 154, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
222             if ((ret = tiff_unpack_strip(s, p, dst, stride, avpkt->data + soff, ssize, i,                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 30, 'regvd': 8, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
224                                          FFMIN(s->rps, s->height - i))) < 0) {                                       {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 12, 'regvd': 102, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
226                 if (avctx->err_recognition & AV_EF_EXPLODE)                                                          {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 97, 'regvd': 69, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
228                     return ret;                                                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 125, 'regvd': 128, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
230                 break;                                                                                               {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 136, 'regvd': 137, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
232             }                                                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 219, 'regvd': 153, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
234             dst += s->rps * stride;                                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 28, 'regvd': 74, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
236         }                                                                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 216, 'regvd': 152, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
238         if (s->predictor == 2) {                                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 49, 'regvd': 88, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
240             if (s->photometric == TIFF_PHOTOMETRIC_YCBCR) {                                                          {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 55, 'regvd': 31, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
242                 av_log(s->avctx, AV_LOG_ERROR, "predictor == 2 with YUV is unsupported");                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 39, 'regvd': 1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
244                 return AVERROR_PATCHWELCOME;                                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 122, 'regvd': 114, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
246             }                                                                                                        {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 210, 'regvd': 151, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
248             dst   = p->data[plane];                                                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 14, 'regvd': 83, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
250             soff  = s->bpp >> 3;                                                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 73, 'regvd': 81, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
252             if (s->planar)                                                                                           {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 68, 'regvd': 124, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
254                 soff  = FFMAX(soff / s->bppcount, 1);                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 31, 'regvd': 25, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
256             ssize = s->width * soff;                                                                                 {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 75, 'regvd': 61, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
258             if (s->avctx->pix_fmt == AV_PIX_FMT_RGB48LE ||                                                           {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 78, 'regvd': 35, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
260                 s->avctx->pix_fmt == AV_PIX_FMT_RGBA64LE ||                                                          {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 95, 'regvd': 58, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
262                 s->avctx->pix_fmt == AV_PIX_FMT_GRAY16LE ||                                                          {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 88, 'regvd': 55, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
264                 s->avctx->pix_fmt == AV_PIX_FMT_YA16LE ||                                                            {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 87, 'regvd': 54, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
266                 s->avctx->pix_fmt == AV_PIX_FMT_GBRP16LE ||                                                          {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 86, 'regvd': 51, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
268                 s->avctx->pix_fmt == AV_PIX_FMT_GBRAP16LE) {                                                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 71, 'regvd': 42, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
270                 for (i = 0; i < s->height; i++) {                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 4, 'regvd': 79, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
272                     for (j = soff; j < ssize; j += 2)                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 36, 'regvd': 72, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
274                         AV_WL16(dst + j, AV_RL16(dst + j) + AV_RL16(dst + j - soff));                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 89, 'regvd': 34, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
276                     dst += stride;                                                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 115, 'regvd': 123, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
278                 }                                                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 193, 'regvd': 150, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
280             } else if (s->avctx->pix_fmt == AV_PIX_FMT_RGB48BE ||                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 77, 'regvd': 29, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
282                        s->avctx->pix_fmt == AV_PIX_FMT_RGBA64BE ||                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 94, 'regvd': 57, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
284                        s->avctx->pix_fmt == AV_PIX_FMT_GRAY16BE ||                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 85, 'regvd': 50, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
286                        s->avctx->pix_fmt == AV_PIX_FMT_YA16BE ||                                                     {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 84, 'regvd': 49, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
288                        s->avctx->pix_fmt == AV_PIX_FMT_GBRP16BE ||                                                   {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 83, 'regvd': 48, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
290                        s->avctx->pix_fmt == AV_PIX_FMT_GBRAP16BE) {                                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 70, 'regvd': 41, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
292                 for (i = 0; i < s->height; i++) {                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 3, 'regvd': 78, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
294                     for (j = soff; j < ssize; j += 2)                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 35, 'regvd': 71, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
296                         AV_WB16(dst + j, AV_RB16(dst + j) + AV_RB16(dst + j - soff));                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'devign': 90, 'regvd': 32, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
