--------------------------------------------------------------------------------------------------------------
Example ids:  245 project:  FFmpeg commit id:  7bf3f380466eeff24916fd6218aca13e414c6240 Number of lines:  124 tground truth:  1
Original lines: 
Predicted Correctly by :  ['PLBART', 'devign', 'regvd', 'vulberta_cnn', 'vulberta_mlp']
0 static int cbs_h265_read_nal_unit(CodedBitstreamContext *ctx,                                  {'PLBART': 0, 'devign': 21, 'regvd': 14, 'vulberta_cnn': 29, 'vulberta_mlp': 9}
68             if (!sps)                                                                         {'PLBART': -1, 'devign': 57, 'regvd': 48, 'vulberta_cnn': 17, 'vulberta_mlp': 40}
70                 return AVERROR(ENOMEM);                                                       {'PLBART': -1, 'devign': 35, 'regvd': 40, 'vulberta_cnn': 57, 'vulberta_mlp': 77}
72             err = cbs_h265_read_sps(ctx, &bc, sps);                                           {'PLBART': -1, 'devign': 14, 'regvd': 5, 'vulberta_cnn': 117, 'vulberta_mlp': 64}
74             if (err >= 0)                                                                     {'PLBART': -1, 'devign': 23, 'regvd': 71, 'vulberta_cnn': 50, 'vulberta_mlp': 8}
76                 err = cbs_h265_replace_sps(ctx, sps);                                         {'PLBART': -1, 'devign': 17, 'regvd': 10, 'vulberta_cnn': 113, 'vulberta_mlp': 30}
78             if (err < 0) {                                                                    {'PLBART': -1, 'devign': 4, 'regvd': 76, 'vulberta_cnn': 119, 'vulberta_mlp': 23}
80                 av_free(sps);                                                                 {'PLBART': -1, 'devign': 67, 'regvd': 17, 'vulberta_cnn': 20, 'vulberta_mlp': 49}
82                 return err;                                                                   {'PLBART': -1, 'devign': 28, 'regvd': 91, 'vulberta_cnn': 86, 'vulberta_mlp': 116}
84             }                                                                                 {'PLBART': -1, 'devign': 233, 'regvd': 120, 'vulberta_cnn': 109, 'vulberta_mlp': 2}
88             unit->content = sps;                                                              {'PLBART': -1, 'devign': 80, 'regvd': 30, 'vulberta_cnn': 54, 'vulberta_mlp': 76}
90         }                                                                                     {'PLBART': -1, 'devign': 228, 'regvd': 119, 'vulberta_cnn': 98, 'vulberta_mlp': 22}
92         break;                                                                                {'PLBART': -1, 'devign': 50, 'regvd': 101, 'vulberta_cnn': 60, 'vulberta_mlp': 48}
96     case HEVC_NAL_PPS:                                                                        {'PLBART': -1, 'devign': 98, 'regvd': 42, 'vulberta_cnn': 73, 'vulberta_mlp': 51}
98         {                                                                                     {'PLBART': -1, 'devign': 222, 'regvd': 105, 'vulberta_cnn': 77, 'vulberta_mlp': 115}
100             H265RawPPS *pps;                                                                 {'PLBART': -1, 'devign': 93, 'regvd': 32, 'vulberta_cnn': 76, 'vulberta_mlp': 21}
104             pps = av_mallocz(sizeof(*pps));                                                  {'PLBART': -1, 'devign': 43, 'regvd': 2, 'vulberta_cnn': 24, 'vulberta_mlp': 11}
106             if (!pps)                                                                        {'PLBART': -1, 'devign': 53, 'regvd': 46, 'vulberta_cnn': 67, 'vulberta_mlp': 55}
108                 return AVERROR(ENOMEM);                                                      {'PLBART': -1, 'devign': 34, 'regvd': 39, 'vulberta_cnn': 32, 'vulberta_mlp': 75}
110             err = cbs_h265_read_pps(ctx, &bc, pps);                                          {'PLBART': -1, 'devign': 13, 'regvd': 4, 'vulberta_cnn': 7, 'vulberta_mlp': 50}
112             if (err >= 0)                                                                    {'PLBART': -1, 'devign': 22, 'regvd': 70, 'vulberta_cnn': 9, 'vulberta_mlp': 60}
114                 err = cbs_h265_replace_pps(ctx, pps);                                        {'PLBART': -1, 'devign': 20, 'regvd': 8, 'vulberta_cnn': 1, 'vulberta_mlp': 33}
116             if (err < 0) {                                                                   {'PLBART': -1, 'devign': 3, 'regvd': 75, 'vulberta_cnn': 6, 'vulberta_mlp': 20}
118                 av_free(pps);                                                                {'PLBART': -1, 'devign': 66, 'regvd': 16, 'vulberta_cnn': 10, 'vulberta_mlp': 19}
120                 return err;                                                                  {'PLBART': -1, 'devign': 27, 'regvd': 90, 'vulberta_cnn': 62, 'vulberta_mlp': 114}
122             }                                                                                {'PLBART': -1, 'devign': 208, 'regvd': 118, 'vulberta_cnn': 81, 'vulberta_mlp': 18}
126             unit->content = pps;                                                             {'PLBART': -1, 'devign': 76, 'regvd': 29, 'vulberta_cnn': 96, 'vulberta_mlp': 14}
128         }                                                                                    {'PLBART': -1, 'devign': 203, 'regvd': 117, 'vulberta_cnn': 80, 'vulberta_mlp': 17}
130         break;                                                                               {'PLBART': -1, 'devign': 49, 'regvd': 100, 'vulberta_cnn': 51, 'vulberta_mlp': 47}
134     case HEVC_NAL_TRAIL_N:                                                                   {'PLBART': -1, 'devign': 103, 'regvd': 68, 'vulberta_cnn': 64, 'vulberta_mlp': 86}
136     case HEVC_NAL_TRAIL_R:                                                                   {'PLBART': -1, 'devign': 95, 'regvd': 67, 'vulberta_cnn': 42, 'vulberta_mlp': 69}
138     case HEVC_NAL_TSA_N:                                                                     {'PLBART': -1, 'devign': 90, 'regvd': 57, 'vulberta_cnn': 105, 'vulberta_mlp': 35}
140     case HEVC_NAL_TSA_R:                                                                     {'PLBART': -1, 'devign': 89, 'regvd': 56, 'vulberta_cnn': 121, 'vulberta_mlp': 68}
142     case HEVC_NAL_STSA_N:                                                                    {'PLBART': -1, 'devign': 88, 'regvd': 55, 'vulberta_cnn': 12, 'vulberta_mlp': 85}
144     case HEVC_NAL_STSA_R:                                                                    {'PLBART': -1, 'devign': 87, 'regvd': 54, 'vulberta_cnn': 122, 'vulberta_mlp': 67}
146     case HEVC_NAL_RADL_N:                                                                    {'PLBART': -1, 'devign': 85, 'regvd': 66, 'vulberta_cnn': 11, 'vulberta_mlp': 39}
148     case HEVC_NAL_RADL_R:                                                                    {'PLBART': -1, 'devign': 84, 'regvd': 65, 'vulberta_cnn': 35, 'vulberta_mlp': 38}
150     case HEVC_NAL_RASL_N:                                                                    {'PLBART': -1, 'devign': 82, 'regvd': 53, 'vulberta_cnn': 16, 'vulberta_mlp': 37}
152     case HEVC_NAL_RASL_R:                                                                    {'PLBART': -1, 'devign': 83, 'regvd': 52, 'vulberta_cnn': 87, 'vulberta_mlp': 46}
154     case HEVC_NAL_BLA_W_LP:                                                                  {'PLBART': -1, 'devign': 75, 'regvd': 60, 'vulberta_cnn': 104, 'vulberta_mlp': 16}
156     case HEVC_NAL_BLA_W_RADL:                                                                {'PLBART': -1, 'devign': 73, 'regvd': 64, 'vulberta_cnn': 88, 'vulberta_mlp': 31}
158     case HEVC_NAL_BLA_N_LP:                                                                  {'PLBART': -1, 'devign': 71, 'regvd': 59, 'vulberta_cnn': 97, 'vulberta_mlp': 70}
160     case HEVC_NAL_IDR_W_RADL:                                                                {'PLBART': -1, 'devign': 69, 'regvd': 63, 'vulberta_cnn': 30, 'vulberta_mlp': 10}
162     case HEVC_NAL_IDR_N_LP:                                                                  {'PLBART': -1, 'devign': 64, 'regvd': 58, 'vulberta_cnn': 95, 'vulberta_mlp': 32}
164     case HEVC_NAL_CRA_NUT:                                                                   {'PLBART': -1, 'devign': 62, 'regvd': 62, 'vulberta_cnn': 112, 'vulberta_mlp': 42}
166         {                                                                                    {'PLBART': -1, 'devign': 182, 'regvd': 104, 'vulberta_cnn': 99, 'vulberta_mlp': 113}
168             H265RawSlice *slice;                                                             {'PLBART': -1, 'devign': 61, 'regvd': 83, 'vulberta_cnn': 4, 'vulberta_mlp': 41}
170             int pos, len;                                                                    {'PLBART': -1, 'devign': 37, 'regvd': 85, 'vulberta_cnn': 37, 'vulberta_mlp': 112}
174             slice = av_mallocz(sizeof(*slice));                                              {'PLBART': -1, 'devign': 12, 'regvd': 12, 'vulberta_cnn': 59, 'vulberta_mlp': 1}
176             if (!slice)                                                                      {'PLBART': -1, 'devign': 38, 'regvd': 82, 'vulberta_cnn': 58, 'vulberta_mlp': 111}
178                 return AVERROR(ENOMEM);                                                      {'PLBART': -1, 'devign': 33, 'regvd': 38, 'vulberta_cnn': 63, 'vulberta_mlp': 110}
180             err = cbs_h265_read_slice_segment_header(ctx, &bc, &slice->header);              {'PLBART': -1, 'devign': 11, 'regvd': 9, 'vulberta_cnn': 110, 'vulberta_mlp': 53}
182             if (err < 0) {                                                                   {'PLBART': -1, 'devign': 2, 'regvd': 74, 'vulberta_cnn': 38, 'vulberta_mlp': 65}
184                 av_free(slice);                                                              {'PLBART': -1, 'devign': 56, 'regvd': 22, 'vulberta_cnn': 53, 'vulberta_mlp': 74}
186                 return err;                                                                  {'PLBART': -1, 'devign': 26, 'regvd': 89, 'vulberta_cnn': 72, 'vulberta_mlp': 59}
188             }                                                                                {'PLBART': -1, 'devign': 169, 'regvd': 116, 'vulberta_cnn': 46, 'vulberta_mlp': 109}
192             pos = bitstream_tell(&bc);                                                       {'PLBART': -1, 'devign': 63, 'regvd': 18, 'vulberta_cnn': 115, 'vulberta_mlp': 54}
194             len = unit->data_size;                                                           {'PLBART': -1, 'devign': 59, 'regvd': 33, 'vulberta_cnn': 15, 'vulberta_mlp': 108}
196             if (!unit->data[len - 1]) {                                                      {'PLBART': -1, 'devign': 19, 'regvd': 51, 'vulberta_cnn': 118, 'vulberta_mlp': 57}
198                 int z;                                                                       {'PLBART': -1, 'devign': 86, 'regvd': 97, 'vulberta_cnn': 18, 'vulberta_mlp': 107}
200                 for (z = 0; z < len && !unit->data[len - z - 1]; z++);                       {'PLBART': -1, 'devign': 7, 'regvd': 24, 'vulberta_cnn': 120, 'vulberta_mlp': 79}
202                 av_log(ctx->log_ctx, AV_LOG_DEBUG, "Deleted %d trailing zeroes "             {'PLBART': -1, 'devign': 8, 'regvd': 23, 'vulberta_cnn': 102, 'vulberta_mlp': 90}
204                        "from slice data.\n", z);                                             {'PLBART': -1, 'devign': 41, 'regvd': 69, 'vulberta_cnn': 44, 'vulberta_mlp': 88}
206                 len -= z;                                                                    {'PLBART': -1, 'devign': 78, 'regvd': 95, 'vulberta_cnn': 49, 'vulberta_mlp': 66}
208             }                                                                                {'PLBART': -1, 'devign': 157, 'regvd': 115, 'vulberta_cnn': 47, 'vulberta_mlp': 106}
212             slice->data_size = len - pos / 8;                                                {'PLBART': -1, 'devign': 52, 'regvd': 34, 'vulberta_cnn': 13, 'vulberta_mlp': 89}
214             slice->data = av_malloc(slice->data_size);                                       {'PLBART': -1, 'devign': 40, 'regvd': 15, 'vulberta_cnn': 5, 'vulberta_mlp': 0}
216             if (!slice->data) {                                                              {'PLBART': -1, 'devign': 9, 'regvd': 47, 'vulberta_cnn': 116, 'vulberta_mlp': 84}
218                 av_free(slice);                                                              {'PLBART': -1, 'devign': 55, 'regvd': 21, 'vulberta_cnn': 111, 'vulberta_mlp': 45}
220                 return AVERROR(ENOMEM);                                                      {'PLBART': -1, 'devign': 32, 'regvd': 37, 'vulberta_cnn': 2, 'vulberta_mlp': 105}
222             }                                                                                {'PLBART': -1, 'devign': 148, 'regvd': 114, 'vulberta_cnn': 82, 'vulberta_mlp': 104}
224             memcpy(slice->data,                                                              {'PLBART': -1, 'devign': 42, 'regvd': 80, 'vulberta_cnn': 71, 'vulberta_mlp': 73}
226                    unit->data + pos / 8, slice->data_size);                                  {'PLBART': -1, 'devign': 39, 'regvd': 20, 'vulberta_cnn': 100, 'vulberta_mlp': 78}
228             slice->data_bit_start = pos % 8;                                                 {'PLBART': -1, 'devign': 77, 'regvd': 50, 'vulberta_cnn': 3, 'vulberta_mlp': 71}
232             unit->content = slice;                                                           {'PLBART': -1, 'devign': 74, 'regvd': 79, 'vulberta_cnn': 28, 'vulberta_mlp': 103}
234         }                                                                                    {'PLBART': -1, 'devign': 140, 'regvd': 113, 'vulberta_cnn': 74, 'vulberta_mlp': 102}
236         break;                                                                               {'PLBART': -1, 'devign': 48, 'regvd': 99, 'vulberta_cnn': 65, 'vulberta_mlp': 101}
240     case HEVC_NAL_AUD:                                                                       {'PLBART': -1, 'devign': 100, 'regvd': 61, 'vulberta_cnn': 85, 'vulberta_mlp': 36}
242         {                                                                                    {'PLBART': -1, 'devign': 134, 'regvd': 103, 'vulberta_cnn': 92, 'vulberta_mlp': 100}
244             H265RawAUD *aud;                                                                 {'PLBART': -1, 'devign': 91, 'regvd': 87, 'vulberta_cnn': 55, 'vulberta_mlp': 34}
248             aud = av_mallocz(sizeof(*aud));                                                  {'PLBART': -1, 'devign': 46, 'regvd': 11, 'vulberta_cnn': 90, 'vulberta_mlp': 5}
250             if (!aud)                                                                        {'PLBART': -1, 'devign': 58, 'regvd': 86, 'vulberta_cnn': 21, 'vulberta_mlp': 99}
252                 return AVERROR(ENOMEM);                                                      {'PLBART': -1, 'devign': 31, 'regvd': 36, 'vulberta_cnn': 103, 'vulberta_mlp': 98}
254             err = cbs_h265_read_aud(ctx, &bc, aud);                                          {'PLBART': -1, 'devign': 16, 'regvd': 13, 'vulberta_cnn': 0, 'vulberta_mlp': 52}
256             if (err < 0) {                                                                   {'PLBART': -1, 'devign': 1, 'regvd': 73, 'vulberta_cnn': 108, 'vulberta_mlp': 80}
258                 av_free(aud);                                                                {'PLBART': -1, 'devign': 68, 'regvd': 27, 'vulberta_cnn': 78, 'vulberta_mlp': 13}
260                 return err;                                                                  {'PLBART': -1, 'devign': 25, 'regvd': 88, 'vulberta_cnn': 69, 'vulberta_mlp': 58}
262             }                                                                                {'PLBART': -1, 'devign': 122, 'regvd': 112, 'vulberta_cnn': 83, 'vulberta_mlp': 97}
266             unit->content = aud;                                                             {'PLBART': -1, 'devign': 81, 'regvd': 84, 'vulberta_cnn': 36, 'vulberta_mlp': 96}
268         }                                                                                    {'PLBART': -1, 'devign': 117, 'regvd': 111, 'vulberta_cnn': 56, 'vulberta_mlp': 95}
270         break;                                                                               {'PLBART': -1, 'devign': 47, 'regvd': 98, 'vulberta_cnn': 39, 'vulberta_mlp': 94}
274     default:                                                                                 {'PLBART': -1, 'devign': 99, 'regvd': 123, 'vulberta_cnn': 22, 'vulberta_mlp': 44}
276         return AVERROR(ENOSYS);                                                              {'PLBART': -1, 'devign': 70, 'regvd': 45, 'vulberta_cnn': 107, 'vulberta_mlp': 72}
278     }                                                                                        {'PLBART': -1, 'devign': 110, 'regvd': 110, 'vulberta_cnn': 45, 'vulberta_mlp': 93}
282     return 0;                                                                                {'PLBART': -1, 'devign': 72, 'regvd': 96, 'vulberta_cnn': 75, 'vulberta_mlp': 92}
284 }                                                                                            {'PLBART': -1, 'devign': 105, 'regvd': 109, 'vulberta_cnn': 106, 'vulberta_mlp': 91}
-----------------------
Highlighted lines: 
12     err = bitstream_init(&bc, unit->data, 8 * unit->data_size);
30             vps = av_mallocz(sizeof(*vps));
--------------------------------------------------------------------------------------------------------------
Example ids:  710 project:  qemu commit id:  b6c147622d31272f9728da9ec16d146bf8c45a74 Number of lines:  126 tground truth:  1
Original lines: 
Predicted Correctly by :  ['linevul', 'codebert', 'PLBART', 'vulberta_cnn', 'vulberta_mlp']
0 int qcow2_update_header(BlockDriverState *bs)                                                {'linevul': 11, 'codebert': 3, 'PLBART': 1, 'vulberta_cnn': 71, 'vulberta_mlp': 40}
2 {                                                                                            {'linevul': 27, 'codebert': 8, 'PLBART': 14, 'vulberta_cnn': 51, 'vulberta_mlp': 113}
4     BDRVQcowState *s = bs->opaque;                                                           {'linevul': 8, 'codebert': 4, 'PLBART': 0, 'vulberta_cnn': 5, 'vulberta_mlp': 112}
6     QCowHeader *header;                                                                      {'linevul': 22, 'codebert': 10, 'PLBART': 10, 'vulberta_cnn': 101, 'vulberta_mlp': 111}
8     char *buf;                                                                               {'linevul': 24, 'codebert': 5, 'PLBART': 12, 'vulberta_cnn': 34, 'vulberta_mlp': 32}
10     size_t buflen = s->cluster_size;                                                        {'linevul': 10, 'codebert': 14, 'PLBART': 3, 'vulberta_cnn': 28, 'vulberta_mlp': 4}
12     int ret;                                                                                {'linevul': 25, 'codebert': 22, 'PLBART': 13, 'vulberta_cnn': 29, 'vulberta_mlp': 110}
14     uint64_t total_size;                                                                    {'linevul': 19, 'codebert': 20, 'PLBART': 8, 'vulberta_cnn': 19, 'vulberta_mlp': 23}
16     uint32_t refcount_table_clusters;                                                       {'linevul': 12, 'codebert': 17, 'PLBART': 7, 'vulberta_cnn': 23, 'vulberta_mlp': 14}
18     size_t header_length;                                                                   {'linevul': 21, 'codebert': 19, 'PLBART': 9, 'vulberta_cnn': 64, 'vulberta_mlp': 109}
20     Qcow2UnknownHeaderExtension *uext;                                                      {'linevul': 13, 'codebert': 1, 'PLBART': 5, 'vulberta_cnn': 57, 'vulberta_mlp': 51}
24     buf = qemu_blockalign(bs, buflen);                                                      {'linevul': 9, 'codebert': 0, 'PLBART': 2, 'vulberta_cnn': 16, 'vulberta_mlp': 9}
28     /* Header structure */                                                                  {'linevul': 23, 'codebert': 16, 'PLBART': 11, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
30     header = (QCowHeader*) buf;                                                             {'linevul': 16, 'codebert': 6, 'PLBART': 6, 'vulberta_cnn': 26, 'vulberta_mlp': 52}
34     if (buflen < sizeof(*header)) {                                                         {'linevul': 14, 'codebert': 11, 'PLBART': 4, 'vulberta_cnn': 108, 'vulberta_mlp': 7}
36         ret = -ENOSPC;                                                                      {'linevul': 15, 'codebert': 21, 'PLBART': -1, 'vulberta_cnn': 78, 'vulberta_mlp': 37}
38         goto fail;                                                                          {'linevul': 20, 'codebert': 12, 'PLBART': -1, 'vulberta_cnn': 59, 'vulberta_mlp': 2}
40     }                                                                                       {'linevul': 26, 'codebert': 23, 'PLBART': -1, 'vulberta_cnn': 41, 'vulberta_mlp': 1}
44     header_length = sizeof(*header) + s->unknown_header_fields_size;                        {'linevul': 5, 'codebert': 13, 'PLBART': -1, 'vulberta_cnn': 6, 'vulberta_mlp': 31}
46     total_size = bs->total_sectors * BDRV_SECTOR_SIZE;                                      {'linevul': 4, 'codebert': 7, 'PLBART': -1, 'vulberta_cnn': 111, 'vulberta_mlp': 18}
48     refcount_table_clusters = s->refcount_table_size >> (s->cluster_bits - 3);              {'linevul': 3, 'codebert': 9, 'PLBART': -1, 'vulberta_cnn': 85, 'vulberta_mlp': 0}
52     *header = (QCowHeader) {                                                                {'linevul': 17, 'codebert': 18, 'PLBART': -1, 'vulberta_cnn': 80, 'vulberta_mlp': 8}
54         /* Version 2 fields */                                                              {'linevul': 18, 'codebert': 15, 'PLBART': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
56         .magic                  = cpu_to_be32(QCOW_MAGIC),                                  {'linevul': 0, 'codebert': 2, 'PLBART': -1, 'vulberta_cnn': 17, 'vulberta_mlp': 17}
58         .version                = cpu_to_be32(s->qcow_version),                             {'linevul': 1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 52, 'vulberta_mlp': 46}
60         .backing_file_offset    = 0,                                                        {'linevul': 7, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 20, 'vulberta_mlp': 22}
62         .backing_file_size      = 0,                                                        {'linevul': 6, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 31, 'vulberta_mlp': 39}
64         .cluster_bits           = cpu_to_be32(s->cluster_bits),                             {'linevul': 2, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 105, 'vulberta_mlp': 34}
66         .size                   = cpu_to_be64(total_size),                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 87, 'vulberta_mlp': 50}
68         .crypt_method           = cpu_to_be32(s->crypt_method_header),                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 95, 'vulberta_mlp': 25}
70         .l1_size                = cpu_to_be32(s->l1_size),                                  {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 9, 'vulberta_mlp': 33}
72         .l1_table_offset        = cpu_to_be64(s->l1_table_offset),                          {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 15, 'vulberta_mlp': 16}
74         .refcount_table_offset  = cpu_to_be64(s->refcount_table_offset),                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 79, 'vulberta_mlp': 24}
76         .refcount_table_clusters = cpu_to_be32(refcount_table_clusters),                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 109, 'vulberta_mlp': 19}
78         .nb_snapshots           = cpu_to_be32(s->nb_snapshots),                             {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 110, 'vulberta_mlp': 47}
80         .snapshots_offset       = cpu_to_be64(s->snapshots_offset),                         {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 113, 'vulberta_mlp': 108}
84         /* Version 3 fields */                                                              {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
86         .incompatible_features  = cpu_to_be64(s->incompatible_features),                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 75, 'vulberta_mlp': 57}
88         .compatible_features    = cpu_to_be64(s->compatible_features),                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 88, 'vulberta_mlp': 107}
90         .autoclear_features     = cpu_to_be64(s->autoclear_features),                       {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 54, 'vulberta_mlp': 56}
92         .refcount_order         = cpu_to_be32(3 + REFCOUNT_SHIFT),                          {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 10, 'vulberta_mlp': 45}
94         .header_length          = cpu_to_be32(header_length),                               {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 102, 'vulberta_mlp': 106}
96     };                                                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 70, 'vulberta_mlp': 13}
100     /* For older versions, write a shorter header */                                       {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
102     switch (s->qcow_version) {                                                             {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 66, 'vulberta_mlp': 49}
104     case 2:                                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 103, 'vulberta_mlp': 105}
106         ret = offsetof(QCowHeader, incompatible_features);                                 {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 107, 'vulberta_mlp': 6}
108         break;                                                                             {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 27, 'vulberta_mlp': 12}
110     case 3:                                                                                {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 83, 'vulberta_mlp': 21}
112         ret = sizeof(*header);                                                             {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 13, 'vulberta_mlp': 3}
114         break;                                                                             {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 56, 'vulberta_mlp': 11}
116     default:                                                                               {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 97, 'vulberta_mlp': 104}
118         return -EINVAL;                                                                    {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 48, 'vulberta_mlp': 103}
120     }                                                                                      {'linevul': -1, 'codebert': -1, 'PLBART': -1, 'vulberta_cnn': 43, 'vulberta_mlp': 102}
